"CountyName","RegionName","Date","Price"
"New York","Upper West Side",2008-02-01,1190
"Kings","East New York",2008-02-01,307
"New York","Washington Heights",2008-02-01,487
"Queens","Astoria",2008-02-01,396
"Kings","Flatbush",2008-02-01,368
"Queens","Jamaica",2008-02-01,352
"New York","East Harlem",2008-02-01,709
"Kings","Bushwick",2008-02-01,335
"Kings","East Flatbush",2008-02-01,302
"Queens","Corona",2008-02-01,404
"Kings","Sunset Park",2008-02-01,408
"Kings","Bensonhurst",2008-02-01,352
"New York","Lower East Side",2008-02-01,963
"Bronx","South Bronx",2008-02-01,225
"Queens","Flushing",2008-02-01,330
"Queens","South Ozone Park",2008-02-01,375
"Queens","Murray Hill",2008-02-01,380
"Queens","Forest Hills",2008-02-01,431
"Queens","Far Rockaway",2008-02-01,280
"Queens","Ridgewood",2008-02-01,363
"Queens","East Elmhurst",2008-02-01,367
"Kings","Flatlands",2008-02-01,334
"Queens","Ozone Park",2008-02-01,351
"Queens","Queens Village",2008-02-01,336
"Kings","Brownsville",2008-02-01,315
"Queens","Richmond Hill",2008-02-01,348
"Kings","Bay Ridge",2008-02-01,381
"Kings","Bath Beach",2008-02-01,349
"Queens","Bayside",2008-02-01,460
"Queens","Maspeth",2008-02-01,393
"New York","Hamilton Heights",2008-02-01,500
"Queens","Woodside",2008-02-01,396
"Queens","Sunnyside",2008-02-01,387
"Kings","Coney Island",2008-02-01,293
"Queens","Rego Park",2008-02-01,361
"New York","Morningside Heights",2008-02-01,782
"Queens","Kew Gardens Hills",2008-02-01,343
"Queens","Woodhaven",2008-02-01,338
"Kings","Dyker Heights",2008-02-01,409
"Queens","St. Albans",2008-02-01,305
"Queens","Hollis",2008-02-01,296
"Queens","Whitestone",2008-02-01,439
"Kings","Fort Greene",2008-02-01,526
"Kings","Greenwood",2008-02-01,500
"Bronx","Kingsbridge",2008-02-01,268
"Queens","Rochdale",2008-02-01,340
"Queens","Glendale",2008-02-01,358
"Queens","Middle Village",2008-02-01,391
"Kings","Homecrest",2008-02-01,387
"Queens","Bellerose",2008-02-01,370
"New York","Clinton",2008-02-01,1150
"New York","Financial District",2008-02-01,1018
"Queens","Briarwood",2008-02-01,375
"Kings","Brighton Beach",2008-02-01,434
"Queens","Auburndale",2008-02-01,411
"Queens","Laurelton",2008-02-01,332
"Queens","Rosedale",2008-02-01,341
"Queens","Howard Beach",2008-02-01,335
"Queens","College Point",2008-02-01,376
"Kings","Marine Park",2008-02-01,374
"Queens","Douglaston-Little Neck",2008-02-01,459
"Queens","Fresh Meadows",2008-02-01,420
"Queens","Oakland Gardens",2008-02-01,438
"New York","West Village",2008-02-01,1412
"Queens","Kew Gardens",2008-02-01,358
"Kings","Wingate",2008-02-01,294
"Kings","Prospect Heights",2008-02-01,468
"Kings","New Utrecht",2008-02-01,382
"New York","Tribeca",2008-02-01,1256
"New York","Carnegie Hill",2008-02-01,1257
"Queens","Rockaway Park",2008-02-01,328
"New York","Tudor City",2008-02-01,1041
"New York","Battery Park",2008-02-01,979
"Queens","Cambria Heights",2008-02-01,358
"Queens","Hillcrest",2008-02-01,402
"Queens","Jamaica Estates",2008-02-01,440
"Queens","Glen Oaks",2008-02-01,486
"Queens","Bay Terrace",2008-02-01,515
"Queens","Floral park",2008-02-01,449
"Kings","Boerum Hill",2008-02-01,514
"Queens","Jamaica Hills",2008-02-01,378
"Queens","Arverne",2008-02-01,275
"Kings","Georgetown",2008-02-01,359
"Kings","Downtown",2008-02-01,526
"Queens","Pomonok",2008-02-01,424
"Bronx","Clason Point",2008-02-01,245
"New York","Little Italy",2008-02-01,1263
"Kings","Windsor Terrace",2008-02-01,546
"Queens","Rockaway Beach",2008-02-01,300
"Queens","Springfield Gardens",2008-02-01,353
"Bronx","Country Club",2008-02-01,282
"Kings","Cobble Hill",2008-02-01,577
"Bronx","Woodlawn",2008-02-01,257
"Kings","Manhattan Beach",2008-02-01,551
"Kings","Gerritsen Beach",2008-02-01,376
"Queens","Belle Harbor",2008-02-01,412
"New York","Garment District",2008-02-01,1271
"Kings","Bergen Beach",2008-02-01,363
"Bronx","City Island",2008-02-01,391
"Kings","Columbia Street Waterfront District",2008-02-01,561
"Queens","Utopia",2008-02-01,463
"Queens","Malba",2008-02-01,448
"Queens","Neponsit",2008-02-01,559
"New York","Upper West Side",2008-03-01,1193
"Kings","East New York",2008-03-01,300
"New York","Washington Heights",2008-03-01,490
"Queens","Astoria",2008-03-01,398
"Kings","Flatbush",2008-03-01,368
"Queens","Jamaica",2008-03-01,351
"New York","East Harlem",2008-03-01,716
"Kings","Bushwick",2008-03-01,338
"Kings","East Flatbush",2008-03-01,302
"Queens","Corona",2008-03-01,406
"Kings","Sunset Park",2008-03-01,414
"Kings","Bensonhurst",2008-03-01,354
"New York","Lower East Side",2008-03-01,979
"Bronx","South Bronx",2008-03-01,224
"Queens","Flushing",2008-03-01,334
"Queens","South Ozone Park",2008-03-01,372
"Queens","Murray Hill",2008-03-01,382
"Queens","Forest Hills",2008-03-01,431
"Queens","Far Rockaway",2008-03-01,279
"Queens","Ridgewood",2008-03-01,363
"Queens","East Elmhurst",2008-03-01,366
"Kings","Flatlands",2008-03-01,332
"Queens","Ozone Park",2008-03-01,349
"Queens","Queens Village",2008-03-01,334
"Kings","Brownsville",2008-03-01,316
"Queens","Richmond Hill",2008-03-01,346
"Kings","Bay Ridge",2008-03-01,381
"Kings","Bath Beach",2008-03-01,353
"Queens","Bayside",2008-03-01,460
"Queens","Maspeth",2008-03-01,394
"New York","Hamilton Heights",2008-03-01,498
"Queens","Woodside",2008-03-01,397
"Queens","Sunnyside",2008-03-01,388
"Kings","Coney Island",2008-03-01,294
"Queens","Rego Park",2008-03-01,363
"New York","Morningside Heights",2008-03-01,792
"Queens","Kew Gardens Hills",2008-03-01,344
"Queens","Woodhaven",2008-03-01,337
"Kings","Dyker Heights",2008-03-01,411
"Queens","St. Albans",2008-03-01,304
"Queens","Hollis",2008-03-01,295
"Queens","Whitestone",2008-03-01,440
"Kings","Fort Greene",2008-03-01,540
"Kings","Greenwood",2008-03-01,503
"Bronx","Kingsbridge",2008-03-01,271
"Queens","Rochdale",2008-03-01,337
"Queens","Glendale",2008-03-01,359
"Queens","Middle Village",2008-03-01,391
"Kings","Homecrest",2008-03-01,388
"Queens","Bellerose",2008-03-01,368
"New York","Clinton",2008-03-01,1160
"New York","Financial District",2008-03-01,1035
"Queens","Briarwood",2008-03-01,379
"Kings","Brighton Beach",2008-03-01,440
"Queens","Auburndale",2008-03-01,412
"Queens","Laurelton",2008-03-01,331
"Queens","Rosedale",2008-03-01,336
"Queens","Howard Beach",2008-03-01,334
"Queens","College Point",2008-03-01,378
"Kings","Marine Park",2008-03-01,374
"Queens","Douglaston-Little Neck",2008-03-01,460
"Queens","Fresh Meadows",2008-03-01,419
"Queens","Oakland Gardens",2008-03-01,437
"New York","West Village",2008-03-01,1427
"Queens","Kew Gardens",2008-03-01,360
"Kings","Wingate",2008-03-01,296
"Kings","Prospect Heights",2008-03-01,468
"Kings","New Utrecht",2008-03-01,384
"New York","Tribeca",2008-03-01,1259
"New York","Carnegie Hill",2008-03-01,1268
"Queens","Rockaway Park",2008-03-01,322
"New York","Tudor City",2008-03-01,1049
"New York","Battery Park",2008-03-01,995
"Queens","Cambria Heights",2008-03-01,354
"Queens","Hillcrest",2008-03-01,399
"Queens","Jamaica Estates",2008-03-01,440
"Queens","Glen Oaks",2008-03-01,484
"Queens","Bay Terrace",2008-03-01,518
"Queens","Floral park",2008-03-01,445
"Kings","Boerum Hill",2008-03-01,530
"Queens","Jamaica Hills",2008-03-01,377
"Queens","Arverne",2008-03-01,271
"Kings","Georgetown",2008-03-01,360
"Kings","Downtown",2008-03-01,542
"Queens","Pomonok",2008-03-01,424
"Bronx","Clason Point",2008-03-01,244
"New York","Little Italy",2008-03-01,1270
"Kings","Windsor Terrace",2008-03-01,549
"Queens","Rockaway Beach",2008-03-01,305
"Queens","Springfield Gardens",2008-03-01,351
"Bronx","Country Club",2008-03-01,280
"Kings","Cobble Hill",2008-03-01,587
"Bronx","Woodlawn",2008-03-01,254
"Kings","Manhattan Beach",2008-03-01,552
"Kings","Gerritsen Beach",2008-03-01,375
"Queens","Belle Harbor",2008-03-01,413
"New York","Garment District",2008-03-01,1284
"Kings","Bergen Beach",2008-03-01,367
"Bronx","City Island",2008-03-01,386
"Kings","Columbia Street Waterfront District",2008-03-01,554
"Queens","Utopia",2008-03-01,464
"Queens","Malba",2008-03-01,450
"Queens","Neponsit",2008-03-01,555
"New York","Upper West Side",2008-04-01,1199
"Kings","East New York",2008-04-01,294
"New York","Washington Heights",2008-04-01,489
